Date,Orange Juice (liters),Apple Juice (liters)
2026-05-15,200,161
2026-05-16,218,176
2026-05-17,219,172
2026-05-18,208,156
2026-05-19,196,171
2026-05-20,199,167
2026-05-21,211,159
2026-05-22,197,168
2026-05-23,221,179
2026-05-24,228,190
2026-05-25,204,164
2026-05-26,216,173
2026-05-27,207,175
2026-05-28,210,169
2026-05-29,214,167
2026-05-30,237,185
2026-05-31,236,183
2026-06-01,213,171
2026-06-02,216,179
2026-06-03,211,167
2026-06-04,204,172
2026-06-05,209,166
2026-06-06,243,195
2026-06-07,225,194
2026-06-08,215,178
2026-06-09,206,170
2026-06-10,206,167
2026-06-11,221,181
2026-06-12,214,172
2026-06-13,238,192
2026-06-14,246,204
2026-06-15,210,180
2026-06-16,214,185
2026-06-17,210,182
2026-06-18,214,178
2026-06-19,211,181
2026-06-20,243,188
2026-06-21,249,200
2026-06-22,223,173
2026-06-23,220,187
2026-06-24,222,185
2026-06-25,220,189
2026-06-26,233,189
2026-06-27,258,199
2026-06-28,249,207
2026-06-29,238,189
2026-06-30,239,194
2026-07-01,236,188
2026-07-02,220,192
2026-07-03,228,178
2026-07-04,255,200
2026-07-05,264,203
2026-07-06,234,195
2026-07-07,221,194
2026-07-08,232,185
2026-07-09,230,181
2026-07-10,230,181
2026-07-11,259,207
2026-07-12,256,200
2026-07-13,224,188
2026-07-14,244,197
2026-07-15,229,197
2026-07-16,239,200
2026-07-17,244,189
2026-07-18,256,223
2026-07-19,269,205
2026-07-20,247,194
2026-07-21,234,188
2026-07-22,234,201
2026-07-23,231,195
2026-07-24,238,195
2026-07-25,279,218
2026-07-26,266,210
2026-07-27,254,205
2026-07-28,241,209
2026-07-29,233,207
2026-07-30,235,200
2026-07-31,253,199
2026-08-01,278,225
2026-08-02,261,213
2026-08-03,250,196
2026-08-04,241,197
2026-08-05,255,212
2026-08-06,248,211
2026-08-07,241,204
2026-08-08,269,232
2026-08-09,274,234
2026-08-10,264,198
2026-08-11,257,205
2026-08-12,242,202
2026-08-13,254,214
2026-08-14,255,198
2026-08-15,287,231
2026-08-16,270,233
2026-08-17,266,208
2026-08-18,264,212
2026-08-19,268,200
2026-08-20,261,206
2026-08-21,264,221
2026-08-22,279,240
2026-08-23,300,237
2026-08-24,261,203
2026-08-25,269,217
2026-08-26,256,220
2026-08-27,266,212
2026-08-28,276,216
2026-08-29,290,232
2026-08-30,302,231
2026-08-31,266,209
2026-09-01,267,224
2026-09-02,270,213
2026-09-03,261,225
2026-09-04,271,210
2026-09-05,310,251
2026-09-06,286,234
2026-09-07,273,209
2026-09-08,267,209
2026-09-09,267,220
2026-09-10,259,229
2026-09-11,280,223
2026-09-12,293,243
2026-09-13,309,248
2026-09-14,278,225
2026-09-15,274,232
2026-09-16,281,233
2026-09-17,279,235
2026-09-18,263,234
2026-09-19,305,252
2026-09-20,293,245
2026-09-21,267,216
2026-09-22,287,223
2026-09-23,283,220
2026-09-24,268,225
2026-09-25,292,219
2026-09-26,303,250
2026-09-27,318,243
2026-09-28,293,221
2026-09-29,279,222
2026-09-30,289,239
2026-10-01,296,225
2026-10-02,280,232
2026-10-03,308,262
2026-10-04,303,248
2026-10-05,291,231
2026-10-06,274,240
2026-10-07,300,224
2026-10-08,289,225
2026-10-09,301,236
2026-10-10,312,247
2026-10-11,307,248
2026-10-12,290,247
2026-10-13,283,236
2026-10-14,284,230
2026-10-15,285,230
2026-10-16,291,245
2026-10-17,338,275
2026-10-18,338,273
2026-10-19,306,252
2026-10-20,299,230
2026-10-21,301,241
2026-10-22,287,237
2026-10-23,293,252
2026-10-24,331,265
2026-10-25,339,281
2026-10-26,287,247
2026-10-27,310,249
2026-10-28,304,239
2026-10-29,300,242
2026-10-30,290,241
2026-10-31,336,262
2026-11-01,327,260
2026-11-02,310,259
2026-11-03,304,256
2026-11-04,309,252
2026-11-05,293,258
2026-11-06,296,241
2026-11-07,346,286
2026-11-08,340,276
2026-11-09,318,249
2026-11-10,297,248
2026-11-11,306,255
2026-11-12,304,244
2026-11-13,322,255
2026-11-14,357,273
2026-11-15,334,289
2026-11-16,326,258
2026-11-17,297,264
2026-11-18,326,258
2026-11-19,313,256
2026-11-20,321,257
2026-11-21,348,279
2026-11-22,363,284
2026-11-23,331,259
2026-11-24,309,246
2026-11-25,329,250
2026-11-26,317,269
2026-11-27,314,269
2026-11-28,356,288
2026-11-29,337,290
2026-11-30,334,273
2026-12-01,308,260
2026-12-02,315,254
2026-12-03,324,267
2026-12-04,331,273
2026-12-05,359,282
2026-12-06,359,296
2026-12-07,338,259
2026-12-08,325,267
2026-12-09,316,273
2026-12-10,336,274
2026-12-11,325,276
2026-12-12,372,287
2026-12-13,374,298
2026-12-14,317,258
2026-12-15,340,271
2026-12-16,325,269
2026-12-17,329,268
2026-12-18,346,275
2026-12-19,374,288
2026-12-20,383,299
2026-12-21,347,275
2026-12-22,326,277
2026-12-23,324,283
2026-12-24,332,279
2026-12-25,263,222
2026-12-26,359,313
2026-12-27,371,310
2026-12-28,330,264
2026-12-29,328,274
2026-12-30,330,265
2026-12-31,352,271
